Match id,Date,Season,Batting team,Bowling team,Innings No,Ball No,Bowler,Striker,Non Striker,runs_scored,extras,type of extras,score,score/wicket,wicket_confirmation,wicket_type,fielders_involved,Player Out
1178402,2019-04-13,2019,Rajasthan Royals,Mumbai Indians,2,18.2,JJ Bumrah,K Gowtham,S Gopal,0,1,legbyes,175,175/6,0,,,
1254092,2021-09-28,2021,Delhi Capitals,Kolkata Knight Riders,1,13.1,VR Iyer,RR Pant,SO Hetmyer,4,0,,85,85/3,0,,,
1304067,2022-04-11,2022,Gujarat Titans,Sunrisers Hyderabad,1,18.1,B Kumar,HH Pandya,A Manohar,0,1,legbyes,149,149/4,0,,,
1304076,2022-04-18,2022,Kolkata Knight Riders,Rajasthan Royals,2,10.2,YS Chahal,SS Iyer,N Rana,0,1,wides,119,119/2,0,,,
1254097,2021-09-25,2021,Delhi Capitals,Rajasthan Royals,1,10.4,T Shamsi,SS Iyer,RR Pant,2,0,,77,77/2,0,,,
829767,2015-05-01,2015,Kings XI Punjab,Delhi Daredevils,1,4.5,Z Khan,DA Miller,GJ Bailey,0,0,,16,16/4,0,,,
1216495,2020-11-03,2020/21,Mumbai Indians,Sunrisers Hyderabad,1,12.2,Rashid Khan,KA Pollard,Ishan Kishan,1,0,,83,83/5,0,,,
734027,2014-05-22,2014,Royal Challengers Bangalore,Kolkata Knight Riders,2,2.5,M Morkel,YV Takawale,V Kohli,0,0,,9,9/1,0,,,
419162,2010-04-21,2009/10,Royal Challengers Bangalore,Mumbai Indians,2,9.5,KA Pollard,LRPL Taylor,V Kohli,0,0,,82,82/4,0,,,
1237178,2020-11-06,2020/21,Royal Challengers Bangalore,Sunrisers Hyderabad,1,11.0,S Nadeem,AB de Villiers,S Dube,1,0,,65,65/4,0,,,
501245,2011-05-07,2011,Kolkata Knight Riders,Chennai Super Kings,2,6.2,SB Jakati,JH Kallis,MK Tiwary,0,0,,34,34/2,0,,,
1426266,2024-04-14,2024,Kolkata Knight Riders,Lucknow Super Giants,2,8.0,Arshad Khan (2),SS Iyer,PD Salt,1,0,,80,80/2,0,,,
336027,2008-05-20,2007/08,Rajasthan Royals,Kolkata Knight Riders,2,4.0,I Sharma,GC Smith,Sohail Tanvir,1,0,,26,26/1,0,,,
501269,2011-05-25,2011,Kolkata Knight Riders,Mumbai Indians,1,7.0,SL Malinga,RN ten Doeschate,YK Pathan,1,0,,30,30/4,0,,,
1254081,2021-04-29,2021,Mumbai Indians,Rajasthan Royals,2,16.3,Mustafizur Rahman,KH Pandya,Q de Kock,0,0,,146,146/2,0,,,
981005,2016-05-21,2016,Kings XI Punjab,Rising Pune Supergiants,1,2.1,DL Chahar,HM Amla,M Vijay,0,0,,10,10/0,0,,,
548353,2012-05-05,2012,Kolkata Knight Riders,Pune Warriors,1,16.3,B Kumar,DB Das,YK Pathan,0,0,,125,125/3,0,,,
1359539,2023-05-18,2023,Royal Challengers Bangalore,Sunrisers Hyderabad,2,9.2,Mayank Dagar,V Kohli,F du Plessis,0,0,,91,91/0,0,,,
548360,2012-05-09,2012,Mumbai Indians,Royal Challengers Bangalore,1,4.0,R Vinay Kumar,KD Karthik,SR Tendulkar,1,0,,5,5/2,0,,,
1422120,2024-03-23,2024,Delhi Capitals,Punjab Kings,1,4.5,K Rabada,DA Warner,SD Hope,6,0,,51,51/1,0,,,
1304061,2022-04-07,2022,Lucknow Super Giants,Delhi Capitals,2,8.0,Kuldeep Yadav,KL Rahul,Q de Kock,1,0,,62,62/0,0,,,
1304104,2022-05-11,2022,Delhi Capitals,Rajasthan Royals,2,10.3,YS Chahal,MR Marsh,DA Warner,1,0,,81,81/1,0,,,
1304099,2022-05-07,2022,Kolkata Knight Riders,Lucknow Super Giants,2,11.2,Ravi Bishnoi,SP Narine,AD Russell,0,0,,69,69/5,0,,,
392196,2009-04-27,2009,Deccan Chargers,Chennai Super Kings,2,13.0,JDP Oram,RG Sharma,HH Gibbs,2,0,,113,113/2,0,,,
1178430,2019-05-05,2019,Kings XI Punjab,Chennai Super Kings,2,8.3,DL Chahar,CH Gayle,KL Rahul,0,0,,91,91/0,0,,,
829719,2015-04-13,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,2,1.4,HV Patel,DA Warner,S Dhawan,0,0,,26,26/0,0,,,
1359520,2023-05-03,2023,Punjab Kings,Mumbai Indians,1,3.3,Arshad Khan,MW Short,S Dhawan,0,0,,25,25/1,0,,,
1082647,2017-05-16,2017,Mumbai Indians,Rising Pune Supergiant,2,1.3,Washington Sundar,LMP Simmons,PA Patel,1,0,,2,2/0,0,,,
734019,2014-05-19,2014,Kings XI Punjab,Delhi Daredevils,2,12.0,JP Duminy,WP Saha,AR Patel,1,0,,107,107/4,0,,,
548334,2012-04-22,2012,Kings XI Punjab,Mumbai Indians,2,8.0,Harbhajan Singh,SE Marsh,Mandeep Singh,0,0,,59,59/1,0,,,
1304077,2022-04-19,2022,Royal Challengers Bangalore,Lucknow Super Giants,1,6.1,Ravi Bishnoi,SS Prabhudessai,F du Plessis,1,0,,49,49/3,0,,,
501270,2011-05-27,2011,Mumbai Indians,Royal Challengers Bangalore,2,8.2,DL Vettori,JEC Franklin,RG Sharma,1,0,,70,70/3,0,,,
392197,2009-04-27,2009,Kolkata Knight Riders,Mumbai Indians,2,6.0,Harbhajan Singh,SC Ganguly,BJ Hodge,0,0,,47,47/2,0,,,
598035,2013-04-28,2013,Delhi Daredevils,Pune Warriors,1,11.0,R Sharma,BJ Rohrer,DA Warner,0,0,,70,70/3,0,,,
548350,2012-05-02,2012,Royal Challengers Bangalore,Kings XI Punjab,1,18.2,P Awana,AB McDonald,AB de Villiers,4,0,,144,144/3,0,,,
1359501,2023-04-20,2023,Punjab Kings,Royal Challengers Bangalore,2,2.1,PWH de Silva,MW Short,P Simran Singh,0,0,,20,20/2,1,bowled,,MW Short
548316,2012-04-10,2012,Delhi Daredevils,Chennai Super Kings,2,11.2,R Ashwin,DPMD Jayawardene,KP Pietersen,1,0,,89,89/2,0,,,
548341,2012-04-26,2012,Pune Warriors,Deccan Chargers,2,2.3,Ankit Sharma,JD Ryder,MK Pandey,0,0,,15,15/1,1,caught,DJ Harris,JD Ryder
598027,2013-04-23,2013,Royal Challengers Bangalore,Pune Warriors,1,15.1,LJ Wright,V Kohli,CH Gayle,1,0,,197,197/1,0,,,
548360,2012-05-09,2012,Royal Challengers Bangalore,Mumbai Indians,2,16.4,RP Singh,CH Gayle,V Kohli,1,0,,125,125/1,0,,,
501210,2011-04-15,2011,Mumbai Indians,Kochi Tuskers Kerala,1,12.5,NLTC Perera,AT Rayudu,SR Tendulkar,6,0,,99,99/1,0,,,
335989,2008-04-23,2007/08,Chennai Super Kings,Mumbai Indians,1,11.3,VS Yeligati,SK Raina,ML Hayden,4,0,,101,101/2,0,,,
1254061,2021-04-12,2021,Rajasthan Royals,Punjab Kings,2,7.2,JA Richardson,SV Samson,JC Buttler,1,0,,70,70/2,0,,,
980985,2016-05-13,2016,Kings XI Punjab,Mumbai Indians,2,10.5,Harbhajan Singh,M Vijay,WP Saha,1,0,,65,65/1,0,,,
548348,2012-05-01,2012,Deccan Chargers,Pune Warriors,1,16.4,B Kumar,CL White,KC Sangakkara,1,0,,129,129/2,0,,,
829819,2015-05-20,2015,Royal Challengers Bangalore,Rajasthan Royals,1,9.2,DS Kulkarni,Mandeep Singh,AB de Villiers,1,0,,49,49/2,0,,,
548317,2012-04-11,2012,Rajasthan Royals,Mumbai Indians,2,2.0,MM Patel,AM Rahane,OA Shah,1,0,,9,9/2,0,,,
981005,2016-05-21,2016,Rising Pune Supergiants,Kings XI Punjab,2,18.4,MM Sharma,MS Dhoni,R Ashwin,0,0,,149,149/6,0,,,
829749,2015-04-24,2015,Royal Challengers Bangalore,Rajasthan Royals,2,7.3,SR Watson,V Kohli,AB de Villiers,2,0,,64,64/1,0,,,
501261,2011-05-18,2011,Kochi Tuskers Kerala,Chennai Super Kings,2,10.4,SK Raina,BJ Hodge,BB McCullum,0,0,,67,67/2,0,,,
501246,2011-05-07,2011,Mumbai Indians,Delhi Daredevils,1,15.5,IK Pathan,RG Sharma,AT Rayudu,4,0,,140,140/2,0,,,
1178409,2019-04-18,2019,Delhi Capitals,Mumbai Indians,2,12.1,KH Pandya,RR Pant,AR Patel,0,0,,69,69/4,0,,,
829721,2015-04-14,2015,Rajasthan Royals,Mumbai Indians,2,9.2,CJ Anderson,AM Rahane,SPD Smith,1,0,,67,67/1,0,,,
829791,2015-05-09,2015,Kolkata Knight Riders,Kings XI Punjab,2,2.0,BE Hendricks,RV Uthappa,G Gambhir,4,0,,15,15/0,0,,,
